Linux 6.5.0-45-generic (gauss) 	26. 02. 2025 	_x86_64_	(32 CPU)

11:48:21          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
11:48:56       loop12      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:56       loop13      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:56       loop14      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00

11:48:56          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
11:49:01        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:01        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:01        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:01        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:01        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:01        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:01        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:01        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:01      nvme0n1      2,00      0,00    189,60      0,00     94,80      0,01      5,70      0,40
11:49:01          sda      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:01        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:01        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:01       loop10      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:01       loop11      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:01       loop12      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:01       loop13      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:01       loop14      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00

11:49:01          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
11:49:06        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:06        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:06        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:06        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:06        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:06        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:06        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:06        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:06      nvme0n1      1,20      0,00    188,80      0,00    157,33      0,01      5,33      0,40
11:49:06          sda      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:06        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:06        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:06       loop10      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:06       loop11      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:06       loop12      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:06       loop13      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:06       loop14      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00

11:49:06          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
11:49:11        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:11        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:11        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:11        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:11        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:11        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:11        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:11        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:11      nvme0n1      0,80      0,00    156,80      0,00    196,00      0,00      5,00      0,24
11:49:11          sda      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:11        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:11        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:11       loop10      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:11       loop11      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:11       loop12      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:11       loop13      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:11       loop14      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00

11:49:11          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
11:49:16        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:16        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:16        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:16        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:16        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:16        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:16        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:16        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:16      nvme0n1      0,80      0,00    184,80      0,00    231,00      0,00      5,25      0,32
11:49:16          sda      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:16        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:16        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:16       loop10      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:16       loop11      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:16       loop12      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:16       loop13      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:16       loop14      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00

11:49:16          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
11:49:21        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:21        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:21        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:21        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:21        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:21        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:21        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:21        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
